       Nazwisko       2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
         PiNi          --   --  77.0  -- 115.0134.0134.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       PiiPaWo         --   --   --   --  92.0 97.0 97.0 67.0 85.0 81.0 84.0 70.0  --   --   --   --   --   --   --   --   -- 
         RaWi          --   --   --   --  51.0 86.0 86.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         RoWe         7.0  14.0 5.0  6.0  7.0  10.0 10.0 6.0  8.0  12.0 40.0  --   --   --   --   --   --   --   --   --   -- 
         RuSk         46.0 53.0 70.0 72.0 82.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       RyFlzro         --  56.0 27.0 35.0 40.0 37.0 37.0 38.0 34.0 44.0 41.0 38.0  --  25.0  --   --   --   --   --   --   -- 
         RyKr         3.0  3.0  4.0  4.0  2.0  7.0  7.0  10.0 5.0  7.0  30.0 22.0  --  36.0  --   --   --   --   --   --   -- 
         RyPi         73.0 68.0  --  81.0 95.0104.0104.0 69.0 93.0  --   --   --   --   --   --   --   --   --   --   --   -- 
         RyVa          --   --  53.0 39.0 46.0 49.0 49.0 47.0 84.0 92.0 65.0 63.0  --   --   --   --   --   --   --   --   -- 
         SoZa         14.0 20.0 29.0 32.0 35.0 38.0 38.0 43.0 25.0 32.0 33.0 33.0  --   --   --   --   --   --   --   --   -- 
         StCi         13.0 35.0 16.0 18.0 23.0 39.0 39.0 72.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         StTy         91.0 72.0 48.0 89.0 90.0119.0119.0 99.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         TaBa          --   --   --   -- 101.0 60.0 60.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       TaKuzro         --  81.0 49.0 64.0 58.0 83.0 83.0 91.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         TaLi         22.0 30.0 25.0 13.0 17.0 18.0 18.0 19.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         TaWe         29.0 25.0 68.0 60.0 39.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         TaWi         58.0 43.0 69.0 65.0 67.0 53.0 53.0 53.0 56.0 59.0  --   --   --   --   --   --   --   --   --   --   -- 
       TeMozro         --   --  24.0 42.0 42.0 47.0 47.0 65.0 80.0 89.0 66.0 57.0  --  47.0  --   --   --  26.0  --   --   -- 
         ToKo          --  97.0 97.0  -- 126.0146.0146.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ToMo          --   --   --   -- 137.0145.0145.0 90.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ToSi         24.0 61.0 90.0 99.0 87.0127.0127.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       ToiDoKu         --   --   --   -- 106.0111.0111.0 86.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         UrGr          --   --   --   -- 124.0107.0107.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WaJo          --   --  76.0 87.0109.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WaRa          --   --  93.0  -- 128.0142.0142.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiKo          --   --   --   -- 131.0128.0128.0 98.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiWi         90.0 95.0 72.0 82.0 71.0 78.0 78.0 78.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiWo          --   --   --   -- 100.0122.0122.0100.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WoMo          --   --   --  84.0 99.0138.0138.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WoMr         64.0 50.0 43.0 37.0 45.0 54.0 54.0 54.0 60.0 61.0 47.0 42.0  --   --   --   --   --   --   --   --   -- 
         WoSz          --   --   --   -- 138.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WłOw         39.0 38.0 41.0  -- 121.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WłWł          --   --  99.0  -- 104.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ZbGr         99.0 94.0  --   -- 147.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       ZbSozro         --   --   --   -- 113.0113.0113.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       ZbiRySk         --   --  66.0 62.0 73.0 84.0 84.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ZdSa         37.0 63.0 89.0 98.0112.0 90.0 90.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ZeSr         57.0 42.0 33.0 38.0 44.0 43.0 43.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       JaiWoSt        60.0 62.0 58.0 68.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaGo         69.0 73.0  --  91.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         RoBą          --   --  98.0 93.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         TaNi          --  51.0 40.0 50.0  --   --   --   --   --  48.0 76.0  --   --   --   --   --   --   --   --   --   -- 
         WiDu          --   --   --  79.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ZbPr         61.0 58.0 52.0 44.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       IwiWaKu         --   --   --   --   --   --   --   --   --   --   --   --   --  94.0  --   --   --   --   --   --   -- 
       JaKozro         --   --   --   --   --  71.0 71.0 51.0 48.0 47.0 82.0 45.0  --  82.0  --   --   --   --   --   --   -- 
         MaFa          --   --   --   --   --   --   --  95.0 87.0  --   --   --   --  67.0  --   --   --   --   --   --   -- 
       MiPlzro         --   --   --   --   --   --   --   --   --   --   --   --   --  65.0  --   --   --   --   --   --   -- 
       WoWazżo         --   --   --   --   -- 126.0126.0 59.0 70.0 94.0 94.0  --   --  90.0  --   --   --   --   --   --   -- 
         DaSo         62.0 52.0 38.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JeSz         47.0 59.0 54.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         KaWi          --  88.0 95.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PiWi          --  97.0 96.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         RoSz          --   --  91.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
        BaUrMa         --   --   --   --   --  99.0 99.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaUr          --   --   --   --   -- 136.0136.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaWa          --   --   --   --   -- 150.0150.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       JeWizżo         --   --   --   --   --  45.0 45.0 23.0 23.0 22.0 16.0 32.0  --   --   --   --   --   --   --   --   -- 
         JóKa          --   --   --   --   -- 129.0129.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         KaMi          --   --   --   --   -- 114.0114.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         MaKr          --   --   --   --   --  35.0 35.0 40.0 55.0 67.0 60.0  --   --   --   --   --   --   --   --   --   -- 
       MaGlzro         --   --   --   --   -- 101.0101.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PrSz          --   --   --   --   --  25.0 25.0 28.0 30.0 26.0 20.0 36.0  --   --   --   --   --   --   --   --   -- 
       PriRaKo         --   --   --   --   --  62.0 62.0 30.0  --   --  69.0  --   --   --   --   --   --   --   --   --   -- 
         SeMa          --   --   --   --   --  98.0 98.0 87.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         StRo          --   --   --   --   -- 132.0132.0  --   --   --  86.0  --   --   --   --   --   --   --   --   --   -- 
         TaGo          --   --   --   --   --  82.0 82.0 77.0 87.0  --   --   --   --   --   --   --   --   --   --   --   -- 
         TaSe          --   --   --   --   --  92.0 92.0 76.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ToMi          --   --   --   --   -- 117.0117.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WoRy          --   --   --   --   -- 148.0148.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ZdKa          --   --   --   --   --  61.0 61.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       KaiWiPo         --   --   --   --   --   --  59.0 91.0 90.0 72.0  --   --   --   --   --   --   --   --   --   --   -- 
         RoSo          --   --   --   --   --   --  92.0  --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ZbBe          --   --   --   --   --   --  71.0 92.0 93.0  --  79.0  --   --   --   --   --   --   --   --   --   -- 
         AnAd         88.0 91.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         AnKa         88.0 91.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         AnKo         85.0 69.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         AnPa         35.0 23.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       AniLePi        79.0 78.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         DaBo          --  96.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         EwŻu         50.0 55.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         HeKu         92.0 99.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaKa         32.0 54.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaMy         76.0100.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaKi         84.0 86.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
        JeHuGi        40.0 41.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JeKr         65.0 47.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JeMi          --  40.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       JoiWiPo         --  71.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         KrKr          --  56.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         MaGr         32.0 54.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         MaAn         88.0 91.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         MaBo         32.0 54.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         MiSk         68.0 84.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         MiLa          --  98.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PaOb         86.0 64.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PiMi         89.0 89.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PiSm         76.0 82.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WaWi          --  96.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiOs          --  98.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiBi         66.0 57.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ZbMo         18.0 17.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaDo          --   --   --   --   --   --   --  15.0 17.0 34.0  --   --   --   --   --   --   --   --   --   --   -- 
       KrKozro         --   --   --   --   --   --   --  19.0 40.0 77.0  --   --   --   --   --   --   --   --   --   --   -- 
       LeiKrJę         --   --   --   --   --   --   --   --  14.0  --   --   --   --   --   --   --   --   --   --   --   -- 
         MaSt          --   --   --   --   --   --   --   --  29.0 85.0 52.0  --   --   --   --   --   --   --   --   --   -- 
       PaiMaSz         --   --   --   --   --   --   --  46.0 56.0  --  99.0  --   --   --   --   --   --   --   --   --   -- 
         StKu          --   --   --   --   --   --   --   --  88.0 97.0  --   --   --   --   --   --   --   --   --   --   -- 
         ToKu          --   --   --   --   --   --   --   --  62.0 91.0 87.0  --   --   --   --   --   --   --   --   --   -- 
         WaKi          --   --   --   --   --   --   --   --  57.0 27.0 35.0  --   --   --   --   --   --   --   --   --   -- 
         ZbOp          --   --   --   --   --   --   --   --  52.0 68.0 59.0  --   --   --   --   --   --   --   --   --   -- 
       BaKazro         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  30.0  -- 
       BoiElKa         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  9.0  16.0  -- 
       DoiWoSo         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  76.0 76.0 58.0  -- 
         JaLu          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 100.0  -- 
         JaWr          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  75.0 91.0 79.0  -- 
         KrBo          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  89.0 68.0 68.0 91.0  -- 
       MaiMaAd         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  14.0 22.0 22.0 23.0  -- 
         MiPl          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  73.0  -- 
       RoiAnLe         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  88.0  -- 
         RoKo          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  62.0 69.0  -- 
         SzWr          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  79.0  -- 
         WaSz          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  81.0  -- 
         AnCz          --   --   --   --   --   --   --  51.0  --  74.0 61.0  --   --   --   --   --   --   --   --   --   -- 
        NgTuTa         --   --   --   --   --   --   --   --   --  93.0 93.0  --   --   --   --   --   --   --   --   --   -- 
         AnMi          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  98.0  --   --   -- 
       DoiSeKu         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  1.0  1.0   --   --   -- 
       EliBoKa         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  6.0   --   --   -- 
       EliJaFi         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  52.0  --   --   -- 
       GriRoKa         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  11.0  --   --   -- 
         GrSt          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  85.0 93.0  --   --   -- 
         JeWi          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  61.0  --   --   -- 
         LuKu          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  97.0 92.0  --   -- 
         PiKr          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  64.0 84.0  --   -- 
       SoiKrOl         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  48.0  --   --   -- 
         UrSi          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  96.0  --   --   -- 
       ZyiAnOl         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  27.0  --   --   -- 
         PiSo          --   --   --   --   --   --   --   --   --  86.0  --   --   --   --   --   --   --   --   --   --   -- 
         AnRy         77.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ArGa         98.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         DoZa         63.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
       EliToCh        56.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaBi         71.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         LuOp         97.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PiBy         75.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PiRo         80.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         PiŁu         80.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         RyŚc         95.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         TaBr         93.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         ToGo         89.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiMa         48.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiSa         96.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WiZa         67.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         WoCi         82.0  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
         GrKi          --   --   --   --   --   --   --  99.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
         JaSz          --   --   --   --   --   --   --  79.0  --   --   --   --   --   --   --   --   --   --   --   --   -- 
       BeiWłOs         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  95.0  --   --   --   -- 
       DaiKaMz         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  61.0  --   --   --   -- 
       GriBoWi         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  71.0  --   --   --   -- 
        JaLuLa         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  98.0  --   --   --   -- 
       JoiDaOs         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  91.0  --   --   --   -- 
         OlMe          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 100.0  --   --   --   -- 
         DaDą          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  96.0  --   -- 
         KoPa          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  79.0  --   -- 
         LeKo          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  88.0  --   -- 
         MaPa          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  79.0  --   -- 
         RoLe          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  94.0  --   -- 
         WiCh          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  88.0  --   -- 
         WoŚm          --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  22.0  --   -- 
       ZbiDaFi         --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --  69.0  --   -- 
